iter	Passed	Remaining
0	124	123937
1	125	62604
2	127	42439
3	129	32152
4	130	25910
5	131	21743
6	132	18866
7	133	16610
8	135	14870
9	135	13452
10	136	12288
11	137	11319
12	138	10509
13	143	10096
14	143	9455
15	144	8890
16	145	8388
17	145	7941
18	146	7540
19	146	7180
20	147	6855
21	147	6561
22	148	6291
23	148	6043
24	149	5816
25	149	5606
26	150	5411
27	150	5230
28	151	5062
29	151	4905
30	152	4758
31	152	4626
32	153	4497
33	154	4390
34	155	4290
35	156	4192
36	157	4094
37	157	3998
38	158	3907
39	159	3820
40	159	3737
41	160	3669
42	161	3600
43	162	3527
44	162	3456
45	163	3388
46	163	3322
47	164	3260
48	164	3201
49	165	3145
50	166	3091
51	166	3038
52	167	2986
53	167	2937
54	168	2895
55	169	2861
56	170	2822
57	171	2782
58	171	2741
59	172	2701
60	172	2661
61	173	2623
62	173	2587
63	174	2551
64	174	2517
65	175	2483
66	175	2450
67	176	2418
68	176	2387
69	177	2357
70	177	2328
71	178	2300
72	179	2273
73	179	2246
74	180	2220
75	180	2194
76	181	2169
77	181	2145
78	182	2123
79	182	2100
80	183	2082
81	184	2065
82	184	2043
83	185	2024
84	186	2005
85	186	1986
86	187	1967
87	188	1949
88	188	1932
89	189	1915
90	189	1897
91	190	1879
92	190	1862
93	191	1845
94	191	1828
95	192	1812
96	192	1796
97	193	1780
98	193	1765
99	194	1750
100	194	1735
101	195	1721
102	196	1707
103	196	1693
104	197	1680
105	197	1666
106	198	1653
107	199	1646
108	200	1637
109	200	1626
110	201	1614
111	202	1603
112	202	1592
113	203	1581
114	204	1570
115	204	1558
116	204	1546
117	205	1535
118	205	1524
119	206	1514
120	207	1504
121	207	1493
122	208	1483
123	208	1473
124	209	1463
125	209	1453
126	209	1443
127	210	1434
128	211	1425
129	211	1416
130	212	1407
131	212	1398
132	213	1393
133	214	1388
134	215	1381
135	216	1373
136	216	1364
137	217	1356
138	217	1348
139	218	1340
140	218	1332
141	218	1323
142	219	1315
143	219	1307
144	220	1299
145	220	1292
146	221	1285
147	221	1277
148	222	1271
149	223	1264
150	223	1257
151	224	1250
152	224	1243
153	225	1237
154	225	1230
155	226	1224
156	226	1218
157	227	1211
158	227	1205
159	229	1202
160	229	1196
161	230	1192
162	231	1186
163	231	1181
164	232	1175
165	232	1169
166	233	1163
167	233	1157
168	234	1151
169	234	1146
170	235	1140
171	235	1135
172	236	1129
173	236	1124
174	237	1119
175	237	1113
176	238	1108
177	238	1103
178	239	1098
179	239	1093
180	240	1088
181	240	1083
182	241	1078
183	241	1073
184	242	1068
185	242	1063
186	244	1064
187	245	1062
188	246	1057
189	247	1053
190	247	1048
191	248	1044
192	248	1039
193	249	1035
194	249	1030
195	250	1026
196	250	1021
197	251	1017
198	251	1012
199	252	1008
200	252	1004
201	253	1000
202	253	996
203	254	992
204	254	988
205	255	984
206	255	980
207	256	976
208	257	972
209	257	968
210	258	964
211	259	962
212	259	960
213	260	957
214	261	954
215	261	950
216	262	947
217	263	944
218	263	940
219	264	937
220	265	935
221	266	933
222	267	930
223	267	926
224	268	923
225	268	919
226	269	916
227	269	912
228	270	909
229	270	905
230	271	902
231	271	899
232	272	895
233	272	892
234	273	890
235	275	893
236	277	891
237	277	889
238	278	886
239	279	886
240	280	883
241	281	880
242	281	876
243	282	873
244	282	870
245	283	867
246	283	864
247	284	861
248	284	858
249	285	855
250	285	852
251	286	849
252	286	846
253	287	843
254	287	840
255	288	837
256	289	836
257	290	836
258	291	833
259	292	831
260	292	828
261	293	825
262	293	822
263	294	820
264	294	817
265	295	814
266	295	811
267	296	808
268	296	806
269	297	803
270	297	800
271	298	798
272	298	795
273	299	792
274	299	790
275	300	787
276	300	784
277	301	782
278	301	780
279	302	777
280	303	775
281	304	774
282	305	772
283	305	770
284	306	768
285	306	766
286	307	763
287	307	761
288	308	758
289	308	756
290	309	753
291	309	751
292	310	749
293	310	746
294	311	744
295	312	742
296	312	739
297	313	737
298	313	735
299	314	732
300	314	730
301	315	728
302	316	727
303	316	725
304	317	724
305	318	722
306	319	721
307	320	720
308	321	718
309	321	716
310	322	714
311	322	712
312	323	709
313	323	707
314	324	705
315	324	703
316	325	701
317	325	698
318	326	696
319	326	694
320	327	692
321	327	690
322	328	688
323	328	686
324	329	684
325	330	682
326	330	680
327	331	678
328	331	676
329	332	674
330	332	672
331	333	670
332	334	669
333	335	669
334	336	667
335	336	665
336	337	663
337	337	661
338	338	660
339	338	658
340	339	656
341	340	654
342	340	652
343	341	650
344	341	648
345	342	646
346	342	644
347	343	642
348	343	641
349	344	639
350	344	637
351	345	635
352	345	633
353	346	631
354	346	629
355	347	628
356	347	626
357	348	625
358	349	624
359	351	624
360	352	623
361	352	622
362	353	620
363	354	618
364	354	617
365	355	615
366	356	614
367	357	613
368	357	611
369	358	609
370	358	608
371	359	606
372	359	604
373	360	603
374	360	601
375	361	599
376	361	597
377	362	596
378	362	594
379	363	592
380	363	591
381	364	590
382	366	590
383	367	589
384	368	588
385	369	587
386	369	585
387	370	583
388	370	582
389	371	580
390	371	579
391	372	577
392	373	576
393	374	575
394	374	573
395	375	572
396	375	570
397	376	569
398	376	567
399	377	566
400	377	564
401	378	562
402	378	561
403	380	560
404	381	560
405	382	559
406	382	557
407	383	556
408	383	554
409	384	552
410	384	551
411	385	549
412	385	548
413	386	546
414	386	545
415	387	543
416	388	542
417	388	541
418	389	540
419	389	538
420	390	537
421	390	535
422	391	534
423	392	532
424	392	531
425	393	529
426	393	528
427	394	526
428	397	529
429	398	528
430	399	527
431	400	526
432	401	525
433	401	523
434	402	522
435	403	521
436	403	520
437	404	518
438	405	517
439	405	516
440	406	515
441	407	514
442	408	513
443	408	511
444	409	510
445	409	508
446	413	511
447	414	510
448	414	509
449	415	507
450	415	506
451	416	504
452	416	503
453	417	502
454	418	500
455	418	499
456	419	498
457	420	497
458	420	495
459	421	495
460	422	493
461	423	492
462	423	491
463	424	490
464	428	493
465	429	492
466	430	491
467	432	491
468	433	490
469	433	489
470	434	487
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	438	480
477	439	479
478	443	482
479	446	483
480	447	483
481	450	484
482	451	483
483	452	482
484	453	481
485	454	480
486	455	479
487	456	479
488	460	481
489	461	480
490	462	479
491	463	478
492	464	477
493	464	476
494	465	475
495	466	474
496	467	472
497	468	472
498	469	471
499	470	470
500	471	469
501	476	472
502	477	471
503	477	470
504	478	469
505	479	468
506	480	466
507	480	465
508	481	464
509	482	463
510	483	462
511	484	461
512	484	460
513	485	459
514	486	458
515	487	456
516	489	457
517	491	457
518	491	455
519	492	454
520	493	453
521	494	452
522	495	452
523	496	451
524	497	450
525	498	449
526	499	448
527	500	447
528	500	445
529	501	444
530	502	443
531	503	443
532	505	442
533	506	441
534	506	440
535	507	439
536	508	438
537	508	436
538	509	435
539	510	434
540	510	433
541	511	432
542	512	431
543	513	430
544	514	429
545	514	428
546	515	426
547	516	425
548	516	424
549	517	423
550	520	424
551	522	423
552	523	422
553	524	422
554	525	421
555	526	420
556	527	419
557	527	418
558	528	416
559	529	415
560	529	414
561	530	413
562	531	412
563	531	411
564	533	410
565	534	409
566	535	408
567	535	407
568	536	406
569	537	405
570	537	404
571	538	402
572	539	401
573	539	400
574	540	399
575	541	398
576	541	397
577	542	395
578	542	394
579	543	393
580	544	392
581	546	392
582	549	393
583	551	393
584	552	392
585	553	390
586	553	389
587	554	388
588	555	387
589	555	386
590	556	385
591	557	383
592	557	382
593	558	381
594	558	380
595	559	379
596	559	377
597	560	376
598	560	375
599	561	374
600	561	372
601	562	371
602	562	370
603	563	369
604	564	368
605	565	367
606	566	366
607	566	365
608	567	364
609	568	363
610	568	362
611	569	361
612	570	359
613	570	358
614	571	357
615	571	356
616	572	355
617	572	353
618	573	352
619	573	351
620	574	350
621	574	349
622	574	347
623	575	346
624	576	345
625	576	344
626	577	343
627	577	342
628	578	341
629	579	340
630	580	339
631	581	338
632	582	337
633	582	336
634	583	335
635	584	334
636	584	333
637	585	331
638	585	330
639	586	329
640	586	328
641	587	327
642	587	326
643	588	325
644	588	323
645	589	322
646	589	321
647	590	320
648	590	319
649	591	318
650	591	317
651	592	316
652	592	315
653	593	313
654	594	313
655	595	312
656	597	311
657	597	310
658	598	309
659	598	308
